Year,Anomaly
185001,-1.03
185002,-0.33
185003,-0.56
185004,-0.51
185005,-0.53
185006,-0.41
185007,-0.26
185008,-0.26
185009,-0.52
185010,-0.34
185011,-0.51
185012,-0.20
185101,-0.39
185102,-0.19
185103,-0.67
185104,-0.20
185105,-0.01
185106,-0.37
185107,-0.29
185108,-0.28
185109,-0.29
185110,-0.45
185111,-0.50
185112,-0.22
185201,-0.41
185202,-0.10
185203,-0.55
185204,-0.84
185205,-0.04
185206,-0.44
185207,-0.37
185208,-0.10
185209,-0.26
185210,-0.62
185211,-0.61
185212,-0.54
185301,-0.27
185302,-0.51
185303,-0.61
185304,-0.53
185305,-0.38
185306,-0.40
185307,-0.26
185308,-0.23
185309,-0.39
185310,-0.49
185311,-0.40
185312,-0.56
185401,-0.57
185402,-0.47
185403,-0.27
185404,-0.66
185405,-0.32
185406,-0.13
185407,-0.32
185408,-0.35
185409,-0.30
185410,-0.25
185411,-0.48
185412,-0.05
185501,0.00
185502,-0.40
185503,-0.52
185504,-0.29
185505,-0.34
185506,-0.54
185507,-0.32
185508,-0.45
185509,-0.69
185510,-0.40
185511,-0.17
185512,-0.88
185601,-0.44
185602,-0.23
185603,-0.82
185604,-0.49
185605,-0.30
185606,-0.51
185607,-0.87
185608,-0.80
185609,-0.29
185610,-1.02
185611,-1.00
185612,-0.61
185701,-0.49
185702,-0.64
185703,-0.46
185704,-0.69
185705,-0.68
185706,-0.66
185707,-0.53
185708,-0.37
185709,-0.61
185710,-0.73
185711,-0.78
185712,-0.30
185801,-0.32
185802,-0.64
185803,-0.46
185804,-0.37
185805,-0.30
185806,-0.36
185807,-0.47
185808,-0.60
185809,-0.57
185810,-0.56
185811,-0.65
185812,-0.59
185901,-0.33
185902,-0.01
185903,-0.18
185904,-0.21
185905,-0.38
185906,-0.34
185907,-0.43
185908,-0.53
185909,-0.53
185910,-0.47
185911,-0.38
185912,-0.42
186001,-0.67
186002,-0.56
186003,-0.78
186004,-0.46
186005,-0.38
186006,-0.50
186007,-0.61
186008,-0.58
186009,-0.52
186010,-0.59
186011,-0.81
186012,-1.22
186101,-0.82
186102,-0.39
186103,-0.28
186104,-0.65
186105,-0.40
186106,-0.55
186107,-0.46
186108,-0.34
186109,-0.46
186110,-0.72
186111,-0.80
186112,-0.60
186201,-0.93
186202,-0.68
186203,-0.55
186204,-0.48
186205,-0.64
186206,-0.74
186207,-0.59
186208,-0.63
186209,-0.56
186210,-0.74
186211,-0.60
186212,-0.75
186301,0.06
186302,-0.14
186303,-0.29
186304,-0.29
186305,-0.26
186306,-0.55
186307,-0.56
186308,-0.41
186309,-0.55
186310,-0.65
186311,-0.49
186312,-0.41
186401,-0.92
186402,-0.37
186403,-0.36
186404,-0.54
186405,-0.41
186406,-0.38
186407,-0.53
186408,-0.52
186409,-0.64
186410,-0.83
186411,-0.87
186412,-0.70
186501,-0.30
186502,-0.83
186503,-0.68
186504,-0.53
186505,-0.52
186506,-0.50
186507,-0.49
186508,-0.56
186509,-0.47
186510,-0.69
186511,-0.43
186512,-0.50
186601,-0.02
186602,-0.54
186603,-0.50
186604,-0.57
186605,-0.56
186606,-0.54
186607,-0.46
186608,-0.61
186609,-0.47
186610,-0.77
186611,-0.43
186612,-0.35
186701,-0.62
186702,-0.35
186703,-0.69
186704,-0.50
186705,-0.80
186706,-0.52
186707,-0.57
186708,-0.53
186709,-0.43
186710,-0.53
186711,-0.38
186712,-0.57
186801,-0.77
186802,-0.54
186803,-0.36
186804,-0.34
186805,-0.21
186806,-0.35
186807,-0.42
186808,-0.39
186809,-0.54
186810,-0.57
186811,-0.66
186812,-0.44
186901,-0.60
186902,0.06
186903,-0.53
186904,-0.29
186905,-0.45
186906,-0.38
186907,-0.41
186908,-0.34
186909,-0.34
186910,-0.70
186911,-0.30
186912,-0.46
187001,-0.48
187002,-0.67
187003,-0.29
187004,-0.35
187005,-0.29
187006,-0.22
187007,-0.35
187008,-0.58
187009,-0.53
187010,-0.79
187011,-0.67
187012,-1.01
187101,-0.72
187102,-0.92
187103,-0.15
187104,-0.28
187105,-0.62
187106,-0.53
187107,-0.43
187108,-0.43
187109,-0.58
187110,-0.67
187111,-0.77
187112,-0.71
187201,-0.62
187202,-0.53
187203,-0.51
187204,-0.52
187205,-0.45
187206,-0.53
187207,-0.46
187208,-0.39
187209,-0.60
187210,-0.33
187211,-0.50
187212,-0.74
187301,-0.35
187302,-0.36
187303,-0.42
187304,-0.93
187305,-0.63
187306,-0.31
187307,-0.43
187308,-0.32
187309,-0.62
187310,-0.50
187311,-0.48
187312,-0.30
187401,0.00
187402,-0.41
187403,-0.51
187404,-0.41
187405,-0.31
187406,-0.40
187407,-0.35
187408,-0.33
187409,-0.31
187410,-0.47
187411,-0.49
187412,-0.64
187501,-1.21
187502,-0.56
187503,-0.49
187504,-0.61
187505,-0.26
187506,-0.12
187507,-0.22
187508,-0.27
187509,-0.55
187510,-0.60
187511,-1.18
187512,-0.94
187601,-0.64
187602,-0.46
187603,-0.28
187604,-0.43
187605,-0.50
187606,-0.35
187607,-0.35
187608,-0.45
187609,-0.49
187610,-0.55
187611,-0.84
187612,-0.91
187701,-0.58
187702,-0.26
187703,-0.11
187704,-0.53
187705,-0.47
187706,-0.20
187707,-0.24
187708,-0.23
187709,-0.27
187710,-0.50
187711,-0.32
187712,-0.56
187801,-0.49
187802,0.01
187803,0.24
187804,-0.24
187805,-0.36
187806,-0.11
187807,-0.18
187808,-0.24
187809,-0.20
187810,-0.32
187811,-0.40
187812,-0.38
187901,-0.33
187902,-0.44
187903,-0.26
187904,-0.29
187905,-0.27
187906,-0.45
187907,-0.30
187908,-0.51
187909,-0.42
187910,-0.28
187911,-0.72
187912,-0.92
188001,-0.47
188002,-0.65
188003,-0.52
188004,-0.67
188005,-0.21
188006,-0.37
188007,-0.47
188008,-0.32
188009,-0.51
188010,-0.73
188011,-0.42
188012,-0.53
188101,-0.51
188102,-0.61
188103,-0.50
188104,-0.34
188105,-0.29
