lon,lat,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
2.3488,48.8534,2,350.48,0.1,21.25,30.4,2.74,14.08,16.48,1.17,1606266000
2.3488,48.8534,2,353.81,0.12,20.39,29.33,2.71,15.36,17.74,1.12,1606269600
2.3488,48.8534,2,357.15,0.15,20.05,27.54,2.74,16.3,18.73,1.08,1606273200
2.3488,48.8534,2,360.49,0.18,20.39,25.75,2.92,16.68,19.22,1.06,1606276800
2.3488,48.8534,2,370.5,0.28,21.94,23.25,3.4,16.65,19.54,1.22,1606280400
2.3488,48.8534,3,453.95,1.29,31.53,13.77,5.19,20.53,24.49,1.93,1606284000
2.3488,48.8534,3,460.63,1.27,33.59,14.31,5.66,21.02,25.56,2.12,1606287600
2.3488,48.8534,3,500.68,2.26,37.36,9.92,6.5,23.07,28.23,2.44,1606291200
2.3488,48.8534,3,534.06,3.69,39.07,7.42,7.21,24.63,30.32,2.66,1606294800
2.3488,48.8534,3,507.36,3.63,35.99,10.01,6.86,22.56,28.28,2.57,1606298400
2.3488,48.8534,2,453.95,3.1,31.53,15.02,6.26,18.75,23.93,2.5,1606302000
2.3488,48.8534,2,413.9,2.71,27.76,20.21,5.72,15.89,20.48,2.44,1606305600
2.3488,48.8534,2,427.25,4.02,28.45,23.25,6.02,16.2,20.71,2.63,1606309200
2.3488,48.8534,2,473.98,6.99,31.87,18.95,6.68,18.32,23.42,2.85,1606312800
2.3488,48.8534,2,507.36,8.49,35.64,14.31,6.8,19.66,24.86,2.85,1606316400
2.3488,48.8534,4,627.52,15.2,43.87,3.58,7.87,25.68,31.37,3.07,1606320000
2.3488,48.8534,4,814.44,33.53,45.24,0.01,9.42,36.58,43.65,3.17,1606323600
2.3488,48.8534,4,1028.06,49.17,46.61,0,11.09,49.67,58.5,3.55,1606327200
2.3488,48.8534,5,1321.79,68.84,50.04,0,13.35,69.63,80.98,4.18,1606330800
2.3488,48.8534,5,1708.98,94.77,52.78,0,15.5,95.35,109.69,4.94,1606334400
2.3488,48.8534,5,2056.12,118.02,54.84,0,17.41,120.47,137.93,5.7,1606338000
2.3488,48.8534,5,2029.42,118.02,54.15,0,15.26,120.54,139.39,5.13,1606341600
2.3488,48.8534,5,1508.71,82.25,48.67,0,8.94,84.42,99.65,2.85,1606345200
2.3488,48.8534,5,1134.87,54.99,42.16,0,6.44,59.66,68.94,2.12,1606348800
2.3488,48.8534,4,988.01,43.81,37.7,0,5.9,49.97,56.38,2.06,1606352400
2.3488,48.8534,4,934.6,39.34,33.93,0,6.14,46.46,51.77,2.28,1606356000
2.3488,48.8534,4,907.9,37.1,31.87,0,6.68,44.76,49.61,2.66,1606359600
2.3488,48.8534,4,934.6,38.89,30.85,0,7.51,46.15,50.96,3.07,1606363200
2.3488,48.8534,5,1081.47,50.52,32.22,0,9.3,56.1,61.63,3.8,1606366800
2.3488,48.8534,5,1789.09,104.61,39.41,0,18.12,105.67,115.01,7.41,1606370400
