Year,Ocean Warming (°C)
1880,-0.02
1881,0.04
1882,0.03
1883,-0.04
1884,-0.12
1885,-0.17
1886,-0.16
1887,-0.2
1888,-0.01
1889,0.0
1890,-0.24
1891,-0.09
1892,-0.13
1893,-0.19
1894,-0.21
1895,-0.1
1896,0.03
1897,-0.01
1898,-0.17
1899,-0.1
1900,-0.02
1901,-0.12
1902,-0.19
1903,-0.33
1904,-0.43
1905,-0.22
1906,-0.19
1907,-0.27
1908,-0.4
1909,-0.44
1910,-0.41
1911,-0.4
1912,-0.25
1913,-0.3
1914,-0.15
1915,-0.08
1916,-0.26
1917,-0.32
1918,-0.18
1919,-0.2
1920,-0.21
1921,-0.19
1922,-0.24
1923,-0.24
1924,-0.24
1925,-0.21
1926,-0.11
1927,-0.17
1928,-0.21
1929,-0.27
1930,-0.14
1931,-0.1
1932,-0.18
1933,-0.23
1934,-0.16
1935,-0.17
1936,-0.13
1937,-0.03
1938,-0.11
1939,-0.04
1940,0.16
1941,0.28
1942,0.1
1943,0.08
1944,0.23
1945,0.21
1946,-0.05
1947,-0.06
1948,-0.1
1949,-0.07
1950,-0.09
1951,0.0
1952,0.07
1953,0.06
1954,-0.11
1955,-0.12
1956,-0.1
1957,0.1
1958,0.12
1959,0.06
1960,0.06
1961,0.08
1962,0.06
1963,0.08
1964,-0.08
1965,-0.04
1966,0.02
1967,0.0
1968,0.02
1969,0.19
1970,0.07
1971,-0.06
1972,0.12
1973,0.15
1974,-0.01
1975,-0.02
1976,0.02
1977,0.2
1978,0.14
1979,0.27
1980,0.28
1981,0.25
1982,0.24
1983,0.32
1984,0.21
1985,0.18
1986,0.23
1987,0.38
1988,0.33
1989,0.28
1990,0.37
1991,0.34
1992,0.25
1993,0.26
1994,0.3
1995,0.34
1996,0.31
1997,0.47
1998,0.52
1999,0.31
2000,0.33
2001,0.45
2002,0.48
2003,0.5
2004,0.49
2005,0.49
2006,0.49
2007,0.4
2008,0.39
2009,0.52
2010,0.53
2011,0.41
2012,0.48
2013,0.52
2014,0.61
2015,0.72
2016,0.75
2017,0.69
2018,0.66
2019,0.74
2020,0.72
2021,0.63
2022,0.67
