Year,CSIRO - Adjusted sea level (cm),CSIRO - Lower error bound (cm),CSIRO - Upper error bound (cm),NOAA - Adjusted sea level (cm)
1880,0,-2.419999999,2.419999999,N/A
1881,0.56,-1.859999999,2.979999996,N/A
1882,-1.119999998,-3.419999998,1.18,N/A
1883,-0.589999999,-2.869999998,1.689999998,N/A
1884,1.499999997,-0.72,3.719999997,N/A
1885,1.349999997,-0.839999999,3.539999996,N/A
1886,1.11,-0.969999998,3.189999998,N/A
1887,0.55,-1.529999998,2.629999998,N/A
1888,0.759999999,-1.319999999,2.839999997,N/A
1889,0.919999999,-1.159999999,2.999999997,N/A
1890,1.119999998,-0.95,3.189999998,N/A
1891,0.95,-1.119999998,3.019999998,N/A
1892,1.269999997,-0.8,3.339999998,N/A
1893,1.739999997,-0.289999999,3.769999996,N/A
1894,0.769999999,-1.389999999,2.929999997,N/A
1895,1.949999999,-0.209999999,4.109999997,N/A
1896,1.19,-0.929999999,3.309999997,N/A
1897,1.709999999,-0.369999999,3.789999997,N/A
1898,2.649999998,0.679999999,4.619999995,N/A
1899,3.399999997,1.459999998,5.339999996,N/A
1900,2.859999998,1.03,4.689999995,N/A
1901,2.819999996,1.059999998,4.579999994,N/A
1902,3.279999996,1.549999999,5.009999995,N/A
1903,4.079999996,2.379999997,5.779999994,N/A
1904,3.049999996,1.359999998,4.739999994,N/A
1905,2.499999999,0.96,4.039999995,N/A
1906,3.179999998,1.709999999,4.649999996,N/A
1907,3.039999996,1.549999999,4.529999995,N/A
1908,2.789999998,1.34,4.239999996,N/A
1909,3.239999997,1.779999999,4.699999995,N/A
1910,3.229999997,1.769999998,4.689999995,N/A
1911,4.059999995,2.639999998,5.479999995,N/A
1912,3.749999996,2.329999998,5.169999995,N/A
1913,3.929999996,2.519999997,5.339999996,N/A
1914,4.559999996,3.179999998,5.939999995,N/A
1915,5.349999993,3.989999996,6.709999994,N/A
1916,5.159999995,3.859999997,6.459999993,N/A
1917,4.709999996,3.429999995,5.989999994,N/A
1918,4.549999996,3.279999996,5.819999993,N/A
1919,4.709999996,3.439999996,5.979999993,N/A
1920,4.839999995,3.539999996,6.139999993,N/A
1921,5.049999994,3.739999995,6.359999993,N/A
1922,4.959999996,3.639999997,6.279999993,N/A
1923,5.079999995,3.779999997,6.379999993,N/A
1924,4.349999994,3.039999996,5.659999993,N/A
1925,4.549999996,3.189999998,5.909999994,N/A
1926,5.199999994,3.829999996,6.569999994,N/A
1927,5.089999995,3.799999997,6.379999993,N/A
1928,4.699999995,3.469999997,5.929999994,N/A
1929,4.839999995,3.629999997,6.049999993,N/A
1930,5.239999995,4.039999995,6.439999993,N/A
1931,5.199999994,3.979999995,6.419999995,N/A
1932,5.769999994,4.579999994,6.959999994,N/A
1933,6.199999993,5.019999996,7.379999992,N/A
1934,5.659999993,4.469999996,6.849999993,N/A
1935,6.219999993,5.029999996,7.409999993,N/A
1936,5.829999994,4.649999996,7.009999993,N/A
1937,6.399999994,5.219999994,7.579999991,N/A
1938,6.659999992,5.479999995,7.839999992,N/A
1939,7.179999994,5.959999995,8.399999992,N/A
1940,6.649999994,5.539999994,7.759999992,N/A
1941,7.869999993,6.789999994,8.949999992,N/A
1942,7.869999993,6.789999994,8.949999992,N/A
1943,7.869999993,6.789999994,8.949999992,N/A
1944,7.229999993,6.159999994,8.299999991,N/A
1945,7.509999991,6.439999993,8.57999999,N/A
